,tweet_bersih,score,sentiment
1,qatar university umum kamar tempat lionel messi gelar piala dunia ubah museum mini kampus kamp timnas argentina piala dunia kemarin,-2,negative
2,puan maharani harap gelar piala dunia qatar jalan lancar puan harap rakyat,3,positive
3,stadion mewah canggih piala dunia qatar sri mulyani mama awards,3,positive
4,kah chudlori gus dur piala dunia qatar gus youtube,-1,negative
5,kylian mbappe bangkit gagal piala dunia qatar,-7,negative
6,argentina doooooooong min,0,neutral
7,saksi bisu piala dunia kamar lionel messi qatar sulap museum mini,-2,negative
8,kamar messi qatar ubah museum,0,neutral
9,mini museum kelola qatar university mess basecamp timnas gelar piala dunia jadi kamar leo messi museum mini ya gambar kamar timnas argentina leo messi qatar,-1,negative
10,saksi bisu sejarah piala dunia kamar lionel messi qatar sulap museum mini,-2,negative
11,kabar barat fenomena orangorang beli bidetsemprotan pulang qatar pasca tonton piala dunia,-7,negative
12,dunia,-1,negative
13,cetak gol tua piala dunia saja messi ronaldo sports,-5,negative
14,masuk akal fifa atur argentina juara piala dunia piala dunia qatar baik,0,neutral
15,prediksi piala aff timnas indonesia vs thailand desember link claim bonus deposit deposit pulsa potong,-5,negative
16,messi dewa kamar hotel kapten timnas argentina piala dunia qatar museum,0,neutral
17,kamar lionel messi inap piala dunia jadi museum,0,neutral
18,stadion mewah canggih piala dunia qatar,-1,negative
19,wni volunteer piala dunia qatar duta bangsa,-1,negative
20,argentina juara pinalti prancis bapuk piala dunia selenggara qatar salah mas gibran,-2,negative
21,stadion piala dunia qatar bahan bekas baifern kendali imei,-3,negative
22,kamar hotel messi piala dunia qatar ubah museum,0,neutral
23,gilir amerika syarikat tuan rumah lantang buruk qatar tanding rekod,0,neutral
24,besar gaji piala dunia qatar,1,positive
25,congratulations argentina hasil juara fifa world cup qatar piala dunia vamous argentina sukses main baik nya lionel messi vamous,7,positive
26,pulang benzema jelang laga perdana piala dunia picu polemik,5,positive
27,piala dunia qatar nobat piala dunia baik abad,0,neutral
28,ayam burger king qatar piala dunia,-1,negative
29,pilih qatar tuan rumah piala dunia timbul publik pasal qatar catat buruk kait isu hak asasi manusia qatar pilih tuan rumah piala dunia,-15,negative
30,ubah tahap layak piala asia amp piala dunia asing gabung rantau saing peringkat benua top piala asia piala dunia idea pulang badan bolasepak jurang rapat qatar bukti,-12,negative
31,stadion piala dunia qatar bahan bekas nia ramadhani hobi,-3,negative
32,qatar voting suara tempat piala dunia qatar piala dunia baik abad,-2,negative
33,stadion mewah canggih piala dunia qatar nia ramadhani hobi,-1,negative
34,lusail kota besar qatar letak pesisir selatan provinsi al daayen tuan rumah piala dunia perintah qatar rombak lusail dana miliar dollar amerika serikat,2,positive
35,hasil voting nobat piala dunia qatar baik abad,4,positive
36,bongkar stadion sepak bola piala dunia stadion ras abu aboud doha qatar hebat sistem knock down bangun tab,-13,negative
37,kamar hotel lionel messi tidur piala dunia jadi museum,-1,negative
38,survei bbc sport pilih piala dunia qatar piala dunia baik abad nih kawan tuju,-3,negative
39,thinkfast stadium piala dunia qatar labuh tirai balik hangat lawan bola sepak tanding stadium uni acara bola sepak,-7,negative
40,qatar yuk min piala dunia euforia asa,4,positive
41,piala dunia pilih piala dunia baik abad guna internet bbc qatar jepun korea selatan brazil jerman rusia afrika selatan,-1,negative
42,hasil qatar selenggara piala dunia ubah imaji global cenderung negatif bangsa masyarakat arab,6,positive
43,nice kalo anak masuk sejarah suruh bikin skripsi dampak piala dunia qatar sistem cebok dunia barat,-7,negative
44,qatar university jadi kamar inap messi piala dunia museum,0,neutral
45,jadwal tanding tanggal amp desember informasi hubung wa,-5,negative
46,kamar tidur kapten timnas argentina lionel messi piala dunia ubah museum qatar university,-1,negative
47,,0,neutral
48,kenang gegap gempita piala dunia qatar sih fokusnyah,-4,negative
49,presiden turki recep tayyip erdo an komentar kiprah cristiano ronaldo piala dunia qatar turut ronaldo cadang alas politik piala dunia marak dukung palestina ronaldo main bela palestina,1,positive
50,jungkook dreamers music from the fifa world cup qatar official soundtrack urut lagu nih iyupss jungkook bts cetak sejarah lagu tema piala dunia fifa judul dreamers,6,positive
51,piala dunia qatar pilih piala dunia baik abad survei bbc sport suara urut piala dunia jepangkorea selatan suara brasil jerman,-1,negative
52,check out topi logo prancis piala dunia qatar nyamadiskon rpdapatkan lazada,0,neutral
53,check out cod baru topi piala dunia qatar putidiskon rpdapatkan lazada,0,neutral
54,lionel messi catat rekor pribadi susul menang argentina piala dunia qatar saja capai,-6,negative
55,piala dunia qatar nobat piala dunia baik hingar bingar piala dunia pesta olahraga skala global rampung laksana piala dunia fifa qatar nobat piala dunia baik,3,positive
56,laga perdana manchester united pasca piala dunia qatar live sctv wajib poin,2,positive
57,pasca piala dunia stadion qatar dialihfungsikan bongkar,-4,negative
58,rekomendasi situs aplikasi livescore orangorang suka sepak bola salah olahraga populer dunia bukti piala dunia gelar qatar saksi juta tonton,-8,negative
59,tiru selebrasi hakim piala dunia qatar,-1,negative
60,gemerlap aksi bintang sepakbola dunia manja mata cinta penjuru dunia pilih qatar raguragu gelontor ribu triliun laksana piala dunia qatar,-4,negative
61,stadion piala dunia qatar bahan bekas,-3,negative
62,sarjana ugm asli anak indramayu percaya urus indah stadion piala dunia qatar baca lengkap share download aplikasi rcti baca berita lengkap,-2,negative
63,piala dunia qatar pilih piala dunia baik abad survei bbc sport suara,-1,negative
64,hakim ziyech milik kisah tarik bantu maroko semifinal piala dunia qatar,1,positive
65,alexis mac allister main turun irlandia bantu timnas argentina juara piala dunia qatar,-4,negative
66,media gemar korea selatan nikmat piala aff piala dunia qatar cakup persen populasi dunia asia tenggara pasar tarik negara,9,positive
67,gokils fifa mod world cup qatar android offline grafik hd new kits amp squad piala dunia,4,positive
68,main baik piala dunia qatar messi bola emas mbappe sepatu emas,4,positive
69,perancis juara piala dunia qatar kalah argentina drama adu pinalti,-12,negative
70,piala dunia qatar habis juara argentina detik bilang piala dunia qatar setinggan argentina messi ulang hadeeeeh yaudah sih ya tinggal tunggu piala dunia,-9,negative
71,emiliano martinez bincang bantu timnas argentina juara piala dunia qatar,0,neutral
72,lionel messi disebutsebut lengkap trofi hasil menang jalan karier bantu timnas argentina juara piala dunia qatar kalah prancis partai final,-4,negative
73,prediksi bola desember situs taruh bola percaya amp lengkap pola,10,positive
74,esra selvia alumni telu pesta sepak bola besar dunia world cup esra salah wakil indonesia tampil opening closing ceremony piala dunia qatar,-5,negative
75,prediksi manchester united vs nottingham forest desember link claim bonus deposit deposit pulsa potong,-5,negative
76,liverpool langkah cepat main belanda cody gakpo gakpo main solid piala dunia qatar cetak gol tanding kabar liverpool kalah manchester united chelsea buru gakpo,1,positive
77,final piala dunia qatar pekan main minggu argentina nobat kampiun piala dunia kalah prancis drama adu penalti,-12,negative
78,liverpool tikung manchester united buru cody gakpo main timnas belanda moncer piala dunia qatar selang gabung the reds,-8,negative
79,liverpool resmi dapat cody gakpo psv eindhoven sinar belanda piala dunia qatar unjuk gigi premier league,-2,negative
80,maroko semi final piala dunia qatar coba cek deh twibbonize maroko semi final piala dunia qatar link part,-3,negative
81,liverpool sikat aston villa laga buka lanjut liga inggris piala dunia qatar,-4,negative
82,rto agen betting slot lengkap provider baik deposit dp pulsa tana potong main geme rto link daftar,-9,negative
83,info bola tampil mario aji paruh musim moto sportalavista mario aji satusatunya balap muda indonesia sempat tampil ajang balap motor,-13,negative
84,prediksi indonesia matchday liga premier inggris musim manchester united vs nottingham forest,2,positive
85,jadwal tanding sepakbola selasa desember rabu desember wib,2,positive
86,media berita inggris bbc muat berita negatif qatar opening ceremony piala dunia siar kali bbc sport ada polling piala dunia baik abad hasil netizen pilih piala dunia qatar baik,-5,negative
87,bijak qatar piala dunia sesuai ideologi negara,1,positive
88,daftar lengkap main buruk piala dunia qatar simak infografis lengkap,-12,negative
89,rasa ya momen gua sih kayak momen piala dunia qatar juara piala dunia kali argentina gua lupa momen tahum,-9,negative
90,bicara dunia sepak bola argentina jago raih trofi piala dunia koneksi internet negara lionel messi kalah telak qatar,-9,negative
91,v janelt brentford cetak gol liga inggris jeda piala dunia qatar,2,positive
92,alam unik tarik piala dunia qatar,2,positive
93,main underrated piala dunia qatar,-1,negative
94,masya allah mantan atheis prancis masuk islam tonton piala dunia qatar,1,positive
95,piala dunia fifa qatar argentina juara liga perdana inggeris epl purapura lupa arsenal persada liga,-3,negative
